"Major_Functional_Group","recorded_taxa_group","estimated_genus_name","estimated_species_name","states","n_records_2000.2025"
"demersal marine fishes","OTRAS","scorpaenichthys","scorpaenichthys marmoratus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",41
"demersal marine fishes","OTRAS","sebastes","sebastes entomelas","JALISCO, NAYARIT, SINALOA, SONORA",22
"demersal marine fishes","OTRAS","sphoeriodes","sphoeriodes testudinaeus","SONORA",2
"demersal marine fishes","OTRAS","sphoeroides","sphoeroides andersonianus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",32535
"demersal marine fishes","OTRAS","sphoeroides","sphoeroides annulatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",538
"demersal marine fishes","OTRAS","spondyliosoma","spondyliosoma cantharus","BAJA CALIFORNIA SUR, SINALOA",6
"demersal marine fishes","OTRAS","stereolepis","stereolepis gigas","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",416
"demersal marine fishes","OTRAS","syngnathus","syngnathus abaster","BAJA CALIFORNIA SUR, NAYARIT",2
"demersal marine fishes","OTRAS","synodus","synodus foetens","SONORA",1
"demersal marine fishes","OTRAS","synodus","synodus scituliceps","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",19767
"demersal marine fishes","OTRAS","totoaba","totoaba macdonaldi","BAJA CALIFORNIA, NAYARIT, SINALOA",187
"demersal marine fishes","OTRAS","xenichthys","xenichthys xanti","JALISCO, NAYARIT, SINALOA",441
"demersal marine fishes","OTRAS","unknown","unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",130
"demersal marine fishes","PARGO","hoplopagrus","hoplopagrus guentherii","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",16765
"demersal marine fishes","PARGO","lutjanus","lutjanus adetii","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",135346
"demersal marine fishes","PARGO","lutjanus","lutjanus argentiventris","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",21784
"demersal marine fishes","PARGO","lutjanus","lutjanus colorado","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",5772
"demersal marine fishes","PARGO","lutjanus","lutjanus guttatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",15947
"demersal marine fishes","PARGO","lutjanus","lutjanus jordani","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA",1063
"demersal marine fishes","PARGO","lutjanus","lutjanus novemfasciatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",7892
"demersal marine fishes","PARGO","mycteroperca","mycteroperca xenarcha","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",211
"demersal marine fishes","PARGO","paralabrax","paralabrax auroguttatus","BAJA CALIFORNIA SUR, JALISCO, NAYARIT",364
"demersal marine fishes","PARGO",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",34
"demersal marine fishes","PETO","acanthocybium","acanthocybium solandri","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",8
"demersal marine fishes","PETO","lamna","lamna ditropis","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",7
"demersal marine fishes","PETO",NA,"unknown","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",8
"demersal marine fishes","PIERNA","caulolatilus","caulolatilus affinis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",487
