"recorded_taxa_group","recorded_taxa_name_clean","recorded_scientific_name","scientific_name_recorded_T.F","recorded_common_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","Hem_species_21","Hem_species_22","Hem_species_23","Hem_species_24","Hem_species_25","Hem_species_26","Hem_species_27","Hem_species_28","Hem_species_29","Hem_species_30","Hem_species_31","Hem_species_32","Hem_species_33","Hem_species_34","Hem_species_35","Hem_species_36","Hem_species_37","Hem_species_38","Hem_species_39","Hem_species_40","Hem_species_41","Hem_species_42","Hem_species_43","Hem_species_44","Hem_species_45","Hem_species_46","Hem_species_47"
"OTRAS","RANA LEOPARDO",NA,FALSE,"rana leopardo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana brownorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMARON","CAMARON ALTAMAR",NA,FALSE,"camaron altamar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATUN","ATUN AZUL",NA,FALSE,"atun azul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thunnus orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","MOJARRA PALETA",NA,FALSE,"mojarra paleta","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Cichlasoma synspilum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","POPOYOTE",NA,FALSE,"popoyote","Escama","Dormitator latifrons","Species","Dormitator latifrons","Dormitator","Eleotridae","Perciformes","Actinopterygii","Freshwater fishes","Eleotris latifrons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CHIHUA",NA,FALSE,"chihua","No ID","Eucinostomus argenteus","Species","Eucinostomus argenteus","Eucinostomus","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CHARCHINA",NA,FALSE,"charchina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","VACA",NA,FALSE,"vaca","No ID","Caranx hippos","Species","Caranx hippos","Caranx","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Euthynnus alletteratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CHARRITO",NA,FALSE,"charrito",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selar crumenophthalmus","Trachurus symmetricus","Decapterus muroadsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUREL","CABALLA",NA,FALSE,"caballa","Escama","Carangidae","Family","NEI","NEI","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARACOL","CARACOL CHINO NEGRO",NA,FALSE,"caracol chino negro","Caracol","Hexaplex nigritus","Species","Hexaplex nigritus","Hexaplex","Muricidae","Neogastropoda","Gastropoda","Molluscs excl. Cephalopods","Hexaplex radix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARACOL","CARACOL OLIVO",NA,FALSE,"caracol olivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUBIO","RUBIO (LUTJANUS SYNAGRIS)","Lutjanus synagris",TRUE,"rubio","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Bellator gymnostethus","Bellator loxias","Bellator xenisma","Prionotus albirostris","Prionotus birostratus","Prionotus horrens","Prionotus ruscarius","Prionotus stephanophrys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALGAS","ALGA",NA,FALSE,"alga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERIZO","ERIZO ROJO",NA,FALSE,"erizo rojo","Erizo","Mesocentrotus franciscanus","Species","Mesocentrotus franciscanus","Mesocentrotus","Strongylocentrotidae","Camarodonta","Echinoidea","Miscellaneous aquatic animals","Strongylocentrotus franciscanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUREL","JUREL PRIETO",NA,FALSE,"jurel prieto","Escama","Caranx lugubris","Species","Caranx lugubris","Caranx","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Caranx caninus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMPANO","PAMPANITO",NA,FALSE,"pampanito","Escama","Trachinotus rhodopus","Species","Trachinotus rhodopus","Trachinotus","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Alectis ciliaris","Trachinotus rhodopus","Peprilus snyderi","Peprilus ovatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","GUACAMAYA",NA,FALSE,"guacamaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scarus perrico","Nicholsina denticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARGO","PARGO BLANCO",NA,FALSE,"pargo blanco","Escama","Mycteroperca xenarcha","Species","Mycteroperca xenarcha","Mycteroperca","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Hyporthodus niphobles","Hyporthodus nigritus","Hyporthodus niveatus","Mycteroperca xenarcha","Eugerres brevimanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","OTRAS ESPECIES AGUA MARINA SIN REGISTRO OFICIAL",NA,FALSE,"otras especies agua marina sin registro oficial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAGRE","JUILE",NA,FALSE,"juile","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Rhamdia guatemalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CABALLITO MAR",NA,FALSE,"caballito mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","CHOPA",NA,FALSE,"chopa","Escama","Kyphosidae","Family","NEI","NEI","Kyphosidae","Perciformes","Actinopterygii","Demersal marine fishes","Girella nigricans","Hermosilla azurea","Kyphosus analogus","Kyphosus elegans","Sectator ocyurus","Sectator azureus","Medialuna californiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MARLIN AZUL",NA,FALSE,"marlin azul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Makaira ampla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MARLIN RAYADO",NA,FALSE,"marlin rayado",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tetrapturus audax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHARAL","CHARAL",NA,FALSE,"charal","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Chirostoma grandocule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","ANGUILA",NA,FALSE,"anguila","No ID","Anguilla rostrata","Species","Anguilla rostrata","Anguilla","Anguillidae","Anguilliformes","Actinopterygii","Diadromous fishes","Anguilla rostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORVINA","CORVINA AMARILLA",NA,FALSE,"corvina amarilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","PESCADA",NA,FALSE,"pescada","Escama","Stereolepis gigas","Species","Stereolepis gigas","Stereolepis","Polyprionidae","Perciformes","Actinopterygii","Demersal marine fishes","Stereolepis gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","OJUDO",NA,FALSE,"ojudo","Escama","Selar crumenophthalmus","Species","Selar crumenophthalmus","Selar","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Heteropriacanthus cruentatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","RASPOSA",NA,FALSE,"rasposa","No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI","Haemulon flaviguttatum ","Haemulon maculicauda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARGO","COLMILLON",NA,FALSE,"colmillon","Escama","Lutjanus jordani","Species","Lutjanus jordani","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Lutjanus jordani","Lutjanus novemfasciatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LENGUADO","FLANDER",NA,FALSE,"flander","Escama","Paralichthys spp","Genus","NEI","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMPANO","PAMPANERA",NA,FALSE,"pampanera","Escama","Trachinotus africanus","Species","Trachinotus africanus","Trachinotus","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Trachinotus kennedyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MARANGUANA",NA,FALSE,"maranguana","Escama","Epinephelus labriformis","Species","Epinephelus labriformis","Epinephelus","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Epinephelus labriformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","YOLO",NA,FALSE,"yolo","Escama","Micropogonias ectenes","Species","Micropogonias ectenes","Micropogonias","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Micropogonias ectenes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON SEDOSO (CARCHARHINUS FALCIFORMIS)","Carcharhinus falciformis",TRUE,"tiburon sedoso","Tiburon","Carcharhinus falciformis","Species","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus falciformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRUCHA","TRUCHA",NA,FALSE,"trucha","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SARGAZO","SARGAZO",NA,FALSE,"sargazo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PECES DE ORNATO","ESPECIES ORNATO",NA,FALSE,"especies ornato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RONCO","CROCA",NA,FALSE,"croca","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Leiostomus xanthurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","RANA TORO",NA,FALSE,"rana toro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana catesbeiana ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERIZO","ERIZO MORADO",NA,FALSE,"erizo morado","Erizo","Strongylocentrotus purpuratus","Species","Strongylocentrotus purpuratus","Strongylocentrotus","Strongylocentrotidae","Camarodonta","Echinoidea","Miscellaneous aquatic animals","Echinometra vanbrunti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON TIGRE",NA,FALSE,"tiburon tigre","Tiburon","Galeocerdo cuvier","Species","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Galeocerdo cuvieri","Triakis semifasciata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CHATARRA",NA,FALSE,"chatarra","No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON AZUL (PRIONACE GLAUCA)","Prionace glauca",TRUE,"tiburon azul","Tiburon","Prionace glauca","Species","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Prionace glauca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATUN","ATUN PATUDO",NA,FALSE,"atun patudo","Tunidos","Thunnus obesus","Species","Thunnus obesus","Thunnus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Euthynnus lineatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","MOJARRA PRIETA",NA,FALSE,"mojarra prieta","Escama","Haemulon scudderii","Species","Haemulon scudderii","Haemulon","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Haemulon steindachneri","Haemulon scudderii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON BLANCA",NA,FALSE,"tiburon blanca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BERRUGATA","GURRUBATA",NA,FALSE,"gurrubata","Escama","Sciaenidae","Family","NEI","NEI","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CHIVO",NA,FALSE,"chivo","Escama","Mulloidichthys dentatus","Species","Mulloidichthys dentatus","Mulloidichthys","Mullidae","Perciformes","Actinopterygii","Demersal marine fishes","Pseudopeneus grandisquamis","Mulloidichthys dentatus","Aluterus monoceros","Lutjanus guttatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","COCHINITO",NA,FALSE,"cochinito","No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI","Aluterus scriptus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAZON","CAZON LEY",NA,FALSE,"cazon ley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARRILETE","BARRILETE RAYADO",NA,FALSE,"barrilete rayado","Escama","Katsuwonus pelamis","Species","Katsuwonus pelamis","Katsuwonus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CHOPA ESPINA",NA,FALSE,"chopa espina",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spondyliosoma cantharus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORVINA","CORVINA RAYADA",NA,FALSE,"corvina rayada","Escama","Cynoscion reticulatus","Species","Cynoscion reticulatus","Cynoscion","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Cynoscion reticulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANCHOVETA","MANJUA",NA,FALSE,"manjua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
