"year","OHI_region_est","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n_years_Catch_2018.22","status_adjusted","control_adjusted","carta_provenance","n_species","n_species_original","carta_recommendation_source","catch_vs_reference_expectation","C_ref","Stock_Status_year.genus.region","Stock_Status_year.genus_mean","Stock_Status_final"
2024,"region_1","lutjanus",1023.5,21,3504.8736,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3504.8736,1,0.916991841143624,1
2018,"region_1","megapitaria",404,3,404,1,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",404,NA,0.947564254714115,0.947564254714115
2020,"region_1","megastraea",23280,15,11260,3,"decreasing","decrease","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",11260,NA,1,1
2021,"region_1","megastraea",3000,3,11260,3,"decreasing","decrease","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",11260,NA,1,1
2022,"region_1","megastraea",7500,4,11260,3,"decreasing","decrease","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",11260,NA,0.933551888840643,0.933551888840643
2023,"region_1","megastraea",700,1,11260,3,"decreasing","decrease","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",11260,NA,NA,NA
2024,"region_1","megastraea",6300,4,11260,3,"decreasing","decrease","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",11260,NA,0.780600889534356,0.780600889534356
2018,"region_1","merluccius",363059.1,35,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1274813.56,1,0.966250327585303,1
2019,"region_1","merluccius",185483.1,21,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1274813.56,1,0.880385458707781,1
2020,"region_1","merluccius",691727.2,36,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1274813.56,1,0.885725595600972,1
2021,"region_1","merluccius",1709119.4,71,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1274813.56,0.745889116933551,0.732232326752904,0.745889116933551
2022,"region_1","merluccius",3424679,146,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1274813.56,0.372243226299458,0.733008657945096,0.372243226299458
2023,"region_1","merluccius",4571684,179,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1274813.56,0.278849885512647,0.590703776979209,0.278849885512647
2024,"region_1","merluccius",6000282.2,185,1274813.56,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1274813.56,0.212458934014804,0.332922459995741,0.212458934014804
2021,"region_1","mugil",125,3,262.5,2,"decreasing","decrease","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",262.5,NA,0.712776188843112,0.712776188843112
2022,"region_1","mugil",400,2,262.5,2,"decreasing","decrease","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",262.5,NA,0.659215857279574,0.659215857279574
2020,"region_1","mustelus",3906.25,5,9582.03333333333,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9582.03333333333,NA,0.89171943609393,0.89171943609393
2021,"region_1","mustelus",23650,11,9582.03333333333,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9582.03333333333,NA,0.878225401720334,0.878225401720334
2022,"region_1","mustelus",1189.85,6,9582.03333333333,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9582.03333333333,NA,0.677782914952192,0.677782914952192
2023,"region_1","mustelus",3794,10,9582.03333333333,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9582.03333333333,NA,0.656043636761049,0.656043636761049
2024,"region_1","mustelus",9193,14,9582.03333333333,3,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9582.03333333333,NA,0.453380725286644,0.453380725286644
2018,"region_1","panopea",607862.81,387,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",976694.762,1,1,1
2019,"region_1","panopea",771393,533,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",976694.762,1,0.79793378729406,1
2020,"region_1","panopea",960523,682,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",976694.762,1,0.847675165806947,1
2021,"region_1","panopea",1238398,708,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",976694.762,0.788675984618838,0.861762287529409,0.788675984618838
2022,"region_1","panopea",1305297,733,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",976694.762,0.748254812506272,0.949650962501254,0.748254812506272
2023,"region_1","panopea",1422499,726,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",976694.762,0.68660488478375,0.885393140563008,0.68660488478375
2024,"region_1","panopea",937541,532,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",976694.762,1,0.850622310042691,1
2018,"region_1","panulirus",23056,27,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",34025,1,0.735352066744344,1
2019,"region_1","panulirus",42925,50,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",34025,0.792661619103087,0.818869748949263,0.792661619103087
2020,"region_1","panulirus",39741,42,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",34025,0.856168692282529,0.979452670326076,0.856168692282529
2021,"region_1","panulirus",32255,31,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",34025,1,0.975706221508828,1
2022,"region_1","panulirus",32148,42,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",34025,1,0.949683416573594,1
2023,"region_1","panulirus",46792,49,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",34025,0.727154214395623,0.94821188155072,0.727154214395623
2024,"region_1","panulirus",43120,34,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",34025,0.789076994434137,0.921748853942732,0.789076994434137
2018,"region_1","paralabrax",2514.1,14,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",16450.46,1,0.954732831013741,1
2019,"region_1","paralabrax",32885.9,26,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",16450.46,0.500228365348067,0.937877056136316,0.500228365348067
2020,"region_1","paralabrax",7847.9,18,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",16450.46,1,0.960588777492964,1
2021,"region_1","paralabrax",6908.5,14,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",16450.46,1,0.875308473007357,1
2022,"region_1","paralabrax",32095.9,33,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",16450.46,0.512540854127786,0.744815067456084,0.512540854127786
2023,"region_1","paralabrax",16678,25,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",16450.46,1,0.683318631875521,1
