"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","scientific_name_recorded_T.F","recorded_scientific_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_family_name","family_est_reasoning"
"OTRAS","LORO","loro",FALSE,NA,"Escama","Nicholsina denticulata","Species","Nicholsina denticulata","Nicholsina","Scaridae","Perciformes","Actinopterygii","Demersal marine fishes","Galeichthys peruvianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicholsina denticulata","low confidence","mismatch between keys","Nicholsina","genus derived from known species","Scaridae","family derived from IHH key"
"OTRAS","MACHETE","machete",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethmidium maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ethmidium maculatum","high confidence","match to Hem's key","Ethmidium","genus derived from known species","family missing but genus available","family unknown but genus available"
"MERO","ABADEJO","abadejo",FALSE,NA,"No ID","Mycteroperca spp","Genus","NEI","Mycteroperca","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Pollachius pollachius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Serranidae","family derived from IHH key"
"OTRAS","RANA LEOPARDO","rana leopardo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana brownorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana brownorum","high confidence","match to Hem's key","Rana","genus derived from known species","family missing but genus available","family unknown but genus available"
"CAMARON","CAMARON ALTAMAR","camaron altamar",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"ATUN","ATUN ALETA AZUL","atun aleta azul",FALSE,NA,"Tunidos","Thunnus spp","Genus","NEI","Thunnus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Thunnus orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Scombridae","family derived from IHH key"
"MOJARRA","MOJARRA PALETA","mojarra paleta",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Cichlasoma synspilum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","POPOYOTE","popoyote",FALSE,NA,"Escama","Dormitator latifrons","Species","Dormitator latifrons","Dormitator","Eleotridae","Perciformes","Actinopterygii","Freshwater fishes","Eleotris latifrons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dormitator latifrons","low confidence","mismatch between keys","Dormitator","genus derived from known species","Eleotridae","family derived from IHH key"
"OTRAS","CHIHUA","chihua",FALSE,NA,"No ID","Eucinostomus argenteus","Species","Eucinostomus argenteus","Eucinostomus","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eucinostomus argenteus","high confidence","match to IHH key","Eucinostomus","genus derived from known species","Gerreidae","family derived from IHH key"
"OTRAS","CHARCHINA","charchina",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","VACA","vaca",FALSE,NA,"No ID","Caranx hippos","Species","Caranx hippos","Caranx","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Euthynnus alletteratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caranx hippos","low confidence","mismatch between keys","Caranx","genus derived from known species","Carangidae","family derived from IHH key"
"OTRAS","CHARRITO","charrito",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selar crumenophthalmus","Trachurus symmetricus","Decapterus muroadsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"JUREL","CABALLA","caballa",FALSE,NA,"Escama","Carangidae","Family","NEI","NEI","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Carangidae","family derived from IHH key"
"CARACOL","CARACOL CHINO NEGRO","caracol chino negro",FALSE,NA,"Caracol","Hexaplex nigritus","Species","Hexaplex nigritus","Hexaplex","Muricidae","Neogastropoda","Gastropoda","Molluscs excl. Cephalopods","Hexaplex radix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hexaplex nigritus","low confidence","mismatch between keys","Hexaplex","genus derived from known species","Muricidae","family derived from IHH key"
"CARACOL","CARACOL OLIVO","caracol olivo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"RUBIO","RUBIO (LUTJANUS SYNAGRIS)","rubio",TRUE,"Lutjanus Synagris","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Bellator gymnostethus","Bellator loxias","Bellator xenisma","Prionotus albirostris","Prionotus birostratus","Prionotus horrens","Prionotus ruscarius","Prionotus stephanophrys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus Synagris","virtually certain","name was recorded in CONAPESCA","Lutjanus","genus derived from known species","NEI","family derived from IHH key"
"ALGAS","ALGA","alga",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"ERIZO","ERIZO ROJO","erizo rojo",FALSE,NA,"Erizo","Mesocentrotus franciscanus","Species","Mesocentrotus franciscanus","Mesocentrotus","Strongylocentrotidae","Camarodonta","Echinoidea","Miscellaneous aquatic animals","Strongylocentrotus franciscanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mesocentrotus franciscanus","low confidence","mismatch between keys","Mesocentrotus","genus derived from known species","Strongylocentrotidae","family derived from IHH key"
"JUREL","JUREL PRIETO","jurel prieto",FALSE,NA,"Escama","Caranx lugubris","Species","Caranx lugubris","Caranx","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Caranx caninus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caranx lugubris","low confidence","mismatch between keys","Caranx","genus derived from known species","Carangidae","family derived from IHH key"
"PAMPANO","PAMPANITO","pampanito",FALSE,NA,"Escama","Trachinotus rhodopus","Species","Trachinotus rhodopus","Trachinotus","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Alectis ciliaris","Trachinotus rhodopus","Peprilus snyderi","Peprilus ovatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trachinotus rhodopus","high confidence","logical match in both keys","Trachinotus","genus derived from known species","Carangidae","family derived from IHH key"
"OTRAS","GUACAMAYA","guacamaya",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scarus perrico","Nicholsina denticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"PARGO","PARGO BLANCO","pargo blanco",FALSE,NA,"Escama","Mycteroperca xenarcha","Species","Mycteroperca xenarcha","Mycteroperca","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Hyporthodus niphobles","Hyporthodus nigritus","Hyporthodus niveatus","Mycteroperca xenarcha","Eugerres brevimanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mycteroperca xenarcha","high confidence","logical match in both keys","Mycteroperca","genus derived from known species","Serranidae","family derived from IHH key"
"OTRAS","OTRAS ESPECIES AGUA MARINA SIN REGISTRO OFICIAL","otras especies agua marina sin registro oficial",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"BAGRE","JUILE","juile",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Rhamdia guatemalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","CABALLITO MAR","caballito mar",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"MOJARRA","CHOPA","chopa",FALSE,NA,"Escama","Kyphosidae","Family","NEI","NEI","Kyphosidae","Perciformes","Actinopterygii","Demersal marine fishes","Girella nigricans","Hermosilla azurea","Kyphosus analogus","Kyphosus elegans","Sectator ocyurus","Sectator azureus","Medialuna californiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Kyphosidae","family derived from IHH key"
"OTRAS","MARLIN AZUL","marlin azul",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Makaira ampla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Makaira ampla","high confidence","match to Hem's key","Makaira","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","MARLIN RAYADO","marlin rayado",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tetrapturus audax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tetrapturus audax","high confidence","match to Hem's key","Tetrapturus","genus derived from known species","family missing but genus available","family unknown but genus available"
"CHARAL","CHARAL","charal",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Chirostoma grandocule",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","ANGUILA","anguila",FALSE,NA,"No ID","Anguilla rostrata","Species","Anguilla rostrata","Anguilla","Anguillidae","Anguilliformes","Actinopterygii","Diadromous fishes","Anguilla rostrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anguilla rostrata","high confidence","logical match in both keys","Anguilla","genus derived from known species","Anguillidae","family derived from IHH key"
"CORVINA","CORVINA ALETA AMARILLA","corvina aleta amarilla",FALSE,NA,"Escama","Cynoscion xanthulus","Species","Cynoscion xanthulus","Cynoscion","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Cynoscion albus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cynoscion xanthulus","high confidence","logical match in both keys","Cynoscion","genus derived from known species","Sciaenidae","family derived from IHH key"
"OTRAS","PESCADA","pescada",FALSE,NA,"Escama","Stereolepis gigas","Species","Stereolepis gigas","Stereolepis","Polyprionidae","Perciformes","Actinopterygii","Demersal marine fishes","Stereolepis gigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stereolepis gigas","high confidence","logical match in both keys","Stereolepis","genus derived from known species","Polyprionidae","family derived from IHH key"
"OTRAS","OJUDO","ojudo",FALSE,NA,"Escama","Selar crumenophthalmus","Species","Selar crumenophthalmus","Selar","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Heteropriacanthus cruentatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selar crumenophthalmus","low confidence","mismatch between keys","Selar","genus derived from known species","Carangidae","family derived from IHH key"
"OTRAS","RASPOSA","rasposa",FALSE,NA,"No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI","Haemulon flaviguttatum ","Haemulon maculicauda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"PARGO","COLMILLON","colmillon",FALSE,NA,"Escama","Lutjanus jordani","Species","Lutjanus jordani","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Lutjanus jordani","Lutjanus novemfasciatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus jordani","high confidence","logical match in both keys","Lutjanus","genus derived from known species","Lutjanidae","family derived from IHH key"
"LENGUADO","FLANDER","flander",FALSE,NA,"Escama","Paralichthys spp","Genus","NEI","Paralichthys","Paralichthyidae","Pleuronectiformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Paralichthyidae","family derived from IHH key"
"PAMPANO","PAMPANERA","pampanera",FALSE,NA,"Escama","Trachinotus africanus","Species","Trachinotus africanus","Trachinotus","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Trachinotus kennedyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trachinotus africanus","low confidence","mismatch between keys","Trachinotus","genus derived from known species","Carangidae","family derived from IHH key"
"OTRAS","MARANGUANA","maranguana",FALSE,NA,"Escama","Epinephelus labriformis","Species","Epinephelus labriformis","Epinephelus","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Epinephelus labriformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Epinephelus labriformis","high confidence","logical match in both keys","Epinephelus","genus derived from known species","Serranidae","family derived from IHH key"
"OTRAS","YOLO","yolo",FALSE,NA,"Escama","Micropogonias ectenes","Species","Micropogonias ectenes","Micropogonias","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Micropogonias ectenes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micropogonias ectenes","high confidence","logical match in both keys","Micropogonias","genus derived from known species","Sciaenidae","family derived from IHH key"
"TIBURON","TIBURON SEDOSO (CARCHARHINUS FALCIFORMIS)","tiburon sedoso",TRUE,"Carcharhinus Falciformis","Tiburon","Carcharhinus falciformis","Species","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus falciformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus Falciformis","virtually certain","name was recorded in CONAPESCA","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"TRUCHA","TRUCHA","trucha",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","NEI","family derived from IHH key"
"SARGAZO","SARGAZO","sargazo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"PECES DE ORNATO","ESPECIES ORNATO","especies ornato",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"RONCO","CROCA","croca",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Leiostomus xanthurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","RANA TORO","rana toro",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana catesbeiana ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana catesbeiana","high confidence","match to Hem's key","Rana","genus derived from known species","family missing but genus available","family unknown but genus available"
"ERIZO","ERIZO MORADO","erizo morado",FALSE,NA,"Erizo","Strongylocentrotus purpuratus","Species","Strongylocentrotus purpuratus","Strongylocentrotus","Strongylocentrotidae","Camarodonta","Echinoidea","Miscellaneous aquatic animals","Echinometra vanbrunti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Strongylocentrotus purpuratus","low confidence","mismatch between keys","Strongylocentrotus","genus derived from known species","Strongylocentrotidae","family derived from IHH key"
"TIBURON","TIBURON TIGRE","tiburon tigre",FALSE,NA,"Tiburon","Galeocerdo cuvier","Species","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Galeocerdo cuvieri","Triakis semifasciata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeocerdo cuvier","high confidence","logical match in both keys","Galeocerdo","genus derived from known species","Carcharhinidae","family derived from IHH key"
"OTRAS","CHATARRA","chatarra",FALSE,NA,"No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","NEI","family derived from IHH key"
"TIBURON","TIBURON AZUL (PRIONACE GLAUCA)","tiburon azul",TRUE,"Prionace Glauca","Tiburon","Prionace glauca","Species","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Prionace glauca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prionace Glauca","virtually certain","name was recorded in CONAPESCA","Prionace","genus derived from known species","Carcharhinidae","family derived from IHH key"
"ATUN","ATUN PATUDO","atun patudo",FALSE,NA,"Tunidos","Thunnus obesus","Species","Thunnus obesus","Thunnus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Euthynnus lineatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thunnus obesus","low confidence","mismatch between keys","Thunnus","genus derived from known species","Scombridae","family derived from IHH key"
"MOJARRA","MOJARRA PRIETA","mojarra prieta",FALSE,NA,"Escama","Haemulon scudderii","Species","Haemulon scudderii","Haemulon","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Haemulon steindachneri","Haemulon scudderii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemulon scudderii","high confidence","logical match in both keys","Haemulon","genus derived from known species","Haemulidae","family derived from IHH key"
"TIBURON","TIBURON ALETA BLANCA","tiburon aleta blanca",FALSE,NA,"Tiburon","Carcharhinus longimanus","Species","Carcharhinus longimanus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus longimanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus longimanus","high confidence","logical match in both keys","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"BERRUGATA","GURRUBATA","gurrubata",FALSE,NA,"Escama","Sciaenidae","Family","NEI","NEI","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Sciaenidae","family derived from IHH key"
