"year","estimated_genus_name","Major_Functional_Group","total_biomass_kg","total_revenue"
2004,"Sicyonia","Shrimps, prawns",512507.2,3124294
2004,"Sphoeroides","Demersal marine fishes",679781.6,14062831
2004,"Sphyrna","Sharks",26112.2,198447
2004,"Squatina","Sharks",779126.1,6794175
2004,"Stereolepis","Demersal marine fishes",9.9,252
2004,"Strongylocentrotus","Echinoderms",167647,3994954
2004,"Synodus","Demersal marine fishes",31097,135561
2004,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)",53920421.6,328358375
2004,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)",318972,1671432
2004,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)",25013,597965
2005,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)",495.3,4044
2005,"Acanthurus","Demersal marine fishes",965,15360
2005,"Aetobatus","Demersal marine fishes",1296,4463
2005,"Alopias","Sharks",20506,147116
2005,"Anisotremus","Demersal marine fishes",58034.2,692793
2005,"Anoplopoma","Demersal marine fishes",6006.5,126477
2005,"Argopecten","Molluscs excl. Cephalopods",101214,577110
2005,"Ariopsis","Demersal marine fishes",5208,63527
2005,"Balistes","Demersal marine fishes",1109784.55,12630447
2005,"Brotula","Demersal marine fishes",341982.5,4105072
2005,"Calamus","Demersal marine fishes",21668,102958
