"state","landing_site","est_habitat","lat_final","lon_final","FLAGS","HemKey_lat","HemKey_lon","MelKey_lat","MelKey_lon","OHI_region_draft","site_notes_Mel"
"SONORA","PUERTO LIBERTAD",NA,29.9063851388889,-112.683225555556,"high confidence",29.9063851388889,-112.683225555556,29.9036,-112.68,"Sonora_Mid",NA
"SONORA","BAHIA LOBOS",NA,27.351756,-110.4537662,"high confidence",27.351756,-110.4537662,27.303,-110.486,"Sonora_South",NA
"SONORA","LOS BAÑOS",NA,26.3755,-109.164,NA,NA,NA,26.3755,-109.164,"Sonora_South",NA
"SINALOA","PRESA GUSTAVO DIAZ ORDAZ (BACURATO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","PLAYA DE TEACAPAN",NA,22.563,-105.767,"high confidence",22.563,-105.767,NA,NA,NA,NA
"SINALOA","ESTERO LAS LAJITAS",NA,26.1080348,-109.37634005,"high confidence",26.1080348,-109.37634005,NA,NA,NA,NA
"SINALOA","CAMPO EL HECHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","BARRA DE PIAXTLA",NA,23.6636111,-106.8013888,"high confidence",23.6636111,-106.8013888,NA,NA,NA,NA
"SINALOA","CERRITOS",NA,24.513915,-107.4345,"high confidence",24.513915,-107.4345,NA,NA,NA,NA
"SINALOA","PLAYA SUR",NA,23.17297755,-106.39022385,"high confidence",23.17297755,-106.39022385,NA,NA,NA,NA
"SINALOA","MEDINA",NA,23.91937,-106.875,"high confidence",23.91937,-106.875,NA,NA,NA,NA
"SONORA","PEÑASCO",NA,31.31,-113.54,NA,NA,NA,31.31,-113.54,"Sonora_North",NA
"SONORA","BAHIA YAVAROS",NA,26.7,-109.487,"high confidence",26.7,-109.487,26.7,-109.487,"Sonora_South",NA
"SONORA","PRESA EL NOVILLO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","BAHIA KINO",NA,28.7912,-111.958,NA,NA,NA,28.7912,-111.958,"Sonora_Mid",NA
"SINALOA","PRESA MIGUEL HIDALGO Y COSTILLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","PRESA GUILLERMO BLAKE AGUILAR (SABINAL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","LA ARENITAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","DIQUE LOS BECOS",NA,24.6281083,-107.30112235,"high confidence",24.6281083,-107.30112235,NA,NA,NA,NA
"SINALOA","CORTINA DE LA PRESA ADOLFO LOPEZ MATEOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","PRESA JOSEFA ORTIZ DE DOMINGUEZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","RAMPA, LA (DARSENA NO. 1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","BOCA DE CAMICHIN",NA,21.7429736111111,-105.488445,"high confidence",21.7429736111111,-105.488445,NA,NA,NA,NA
"NAYARIT","EMBARCADERO DE PTA. DE PALAPARES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","BORDO, EL (MALECON DE FCO. VILLA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","CABEZA DE CANOA",NA,21.9897,-105.4711,"high confidence",21.9897,-105.4711,NA,NA,NA,NA
"NAYARIT","PASO DE AHUAPAN",NA,21.5952445,-104.59117105,"high confidence",21.5952445,-104.59117105,NA,NA,NA,NA
"NAYARIT","PASO DE LOZADA",NA,21.517,-104.538,"high confidence",21.517,-104.538,NA,NA,NA,NA
"NAYARIT","ESCOLLERA, LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","CANAL DE CUAUTLA",NA,22.2183,-105.6417,"high confidence",22.2183,-105.6417,NA,NA,NA,NA
