estimated_genus_name,Major_Functional_Group,Major_Functional_Group_adjusted,estimated_taxa_group,family_from_previous.keys,family_from_taxize,new_estimated_family_name,new_family_est_reasoning
Scomberomorus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),SIERRA,Scombridae,Scombridae,Scombridae,family name was estimated from previous keys
Thunnus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),ATUN,Scombridae,Scombridae,Scombridae,family name was estimated from previous keys
Sphyraena,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,Sphyraenidae,Sphyraenidae,Sphyraenidae,family name was estimated from previous keys
Peprilus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,Stromateidae,Stromateidae,Stromateidae,family name was estimated from previous keys
Trichiurus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),CINTILLA,Trichiuridae,Trichiuridae,Trichiuridae,family name was estimated from previous keys
Xiphias,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,Xiphiidae,Xiphiidae,Xiphiidae,family name was estimated from previous keys
Alopias,Sharks,Large sharks,TIBURON,Alopiidae,Alopiidae,Alopiidae,family name was estimated from previous keys
Carcahrhinus,Sharks,Medium-Large sharks,TIBURON,Carcharhinidae,NA,Carcharhinidae,family name was estimated from previous keys
Carcharhinus,Sharks,Medium-Large sharks,TIBURON,Carcharhinidae,Carcharhinidae,Carcharhinidae,family name was estimated from previous keys
Galeocerdo,Sharks,Large sharks,TIBURON,Carcharhinidae,Carcharhinidae,Carcharhinidae,family name was estimated from previous keys
Nasolamia,Sharks,Small sharks,TIBURON,Carcharhinidae,Carcharhinidae,Carcharhinidae,family name was estimated from previous keys
Negaprion,Sharks,Large sharks,TIBURON,Carcharhinidae,Carcharhinidae,Carcharhinidae,family name was estimated from previous keys
Prionace,Sharks,Large sharks,TIBURON,Carcharhinidae,Carcharhinidae,Carcharhinidae,family name was estimated from previous keys
Rhizoprionodon,Sharks,Small sharks,CAZON,Carcharhinidae,Carcharhinidae,Carcharhinidae,family name was estimated from previous keys
Echinorhinus,Sharks,Large sharks,TIBURON,Echinorhinidae,Echinorhinidae,Echinorhinidae,family name was estimated from previous keys
Ginglymostoma,Sharks,Medium-Large sharks,TIBURON,Ginglymostomatidae,Ginglymostomatidae,Ginglymostomatidae,family name was estimated from previous keys
Isurus,Sharks,Large sharks,TIBURON,Lamnidae,Lamnidae,Lamnidae,family name was estimated from previous keys
Rhizorionodon,Sharks,Small sharks,CAZON,NA,NA,Carcharhinidae,family name was logged manually
Sypyrna,Sharks,Large sharks,TIBURON,NA,NA,Sphyrnidae,family name was logged manually
Pristis,Sharks,Large sharks,OTRAS,NA,Pristidae,Pristidae,family name was estimated from genus name using taxize function
Pseudocarcharias,Sharks,Small sharks,OTRAS,NA,Pseudocarchariidae,Pseudocarchariidae,family name was estimated from genus name using taxize function
Sphyrna,Sharks,Large sharks,TIBURON,Sphyrnidae,Carcharhinidae,Sphyrnidae,family name was estimated from previous keys
Squatina,Sharks,Medium-Large sharks,TIBURON,Squatinidae,Squatinidae,Squatinidae,family name was estimated from previous keys
Galeorhinus,Sharks,Medium-Large sharks,TIBURON,Triakidae,Triakidae,Triakidae,family name was estimated from previous keys
Mustelus,Sharks,Small sharks,TIBURON,Triakidae,Triakidae,Triakidae,family name was estimated from previous keys
Triakis,Sharks,Small sharks,TIBURON,NA,Triakidae,Triakidae,family name was estimated from genus name using taxize function
Farfantepenaeus,"Shrimps, prawns","Shrimps, prawns",CAMARON,NA,Penaeidae,Penaeidae,family name was estimated from genus name using taxize function
Litopenaeus,"Shrimps, prawns","Shrimps, prawns",CAMARON,Penaeidae,Penaeidae,Penaeidae,family name was estimated from previous keys
Metapenaeus,"Shrimps, prawns","Shrimps, prawns",CAMARON,NA,Penaeidae,Penaeidae,family name was estimated from genus name using taxize function
Penaeus,"Shrimps, prawns","Shrimps, prawns",CAMARON,Penaeidae,Penaeidae,Penaeidae,family name was estimated from previous keys
